Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_Bin,Health_GDP_Impact,CO2_per_Energy,Dependency_Ratio
0.022,41.0,10.760346700640856,26.0,9.674200166461429,24.24658057704298,0.034,5.53338948872752,239.0,0.024,0.0,0.07,74.0,70.0,0.0,1,0.333,0.628,0.039,15.459579049602231,0.763,18.24632736871235,20.020068322553165,Upper-Middle,0.8243837396194614,1.008070537636169,0.5923566878980892
0.041,41.0,7.536363938404511,26.0,9.57073837671504,22.078501232412098,0.05,2.5649493574615367,239.0,0.071,0.0,0.22649999999999998,60.0,57.0,0.0,1,0.455,0.515,0.03,16.57202147214747,0.271,18.839391085389497,18.749984498289212,Low,1.1039250616206049,0.7129458387699223,0.9417475728155339
0.045,41.0,6.810142450115136,26.0,9.57073837671504,21.279164030612048,0.061,2.302585092994046,239.0,0.103,0.0,0.22649999999999998,46.0,46.0,0.0,1,0.458,0.511,0.031,16.242213865812122,0.146,17.182806422433504,17.78580249038432,Low,1.298029005867335,0.6442447260937182,0.9569471624266145
0.048,41.0,6.298949246855942,26.0,9.57073837671504,21.60805860304415,0.063,2.833213344056216,239.0,0.1075,0.0,0.12,49.0,49.0,0.0,1,0.461,0.504,0.035,16.143819731402775,0.284,17.665658180950928,18.005165315142214,Low,1.3613076919917815,0.5958854549584834,0.9841269841269841
0.038,41.0,7.1204443723924875,26.0,9.57073837671504,20.98073620272593,0.06,3.2188758248682006,239.0,0.076,0.0,0.22649999999999998,61.0,58.0,0.0,1,0.428,0.54,0.032,14.811756362902935,0.492,20.350025877585416,19.93800336967164,Low,1.2588441721635557,0.6735995271699492,0.8518518518518517
0.017,41.0,7.926602599181384,26.0,9.57073837671504,22.24552415438848,0.037,4.990432586778736,239.0,0.016,0.1,0.208,75.0,68.0,0.2,1,0.258,0.681,0.061,13.986833517999623,0.427,20.411291073291707,19.12871654193217,Lower-Middle,0.8230843937123737,0.74986271693583,0.4684287812041116
0.022,41.0,10.431347268857898,26.0,9.233959237574817,24.33474061683561,0.042,4.007333185232471,239.0,0.043,0.0,0.133,70.0,67.0,0.1,1,0.341,0.613,0.047,17.172760371140516,0.533,21.547441280351357,20.042047229228025,Upper-Middle,1.0220591059070956,1.0192875530086494,0.632952691680261
0.044,41.0,7.2078598714324755,26.0,8.878218658092228,22.18422480626943,0.062,2.772588722239781,239.0,0.1075,0.0,0.19,49.0,46.0,0.0,1,0.438,0.53,0.032,16.721078434435523,0.291,18.119575664681957,18.619531610894253,Lower-Middle,1.3754219379887047,0.7296720310526639,0.8867924528301886
0.032,41.0,7.404887575616125,26.0,6.88653164253051,22.08645674863076,0.061,4.844187086458591,239.0,0.049,0.0,0.153,57.0,53.0,0.0,1,0.405,0.562,0.033,14.456287021820378,0.324,19.078200752050506,18.26985786584569,Low,1.3472738616664763,0.9389282781397879,0.7793594306049823
0.053,41.0,6.680854678790215,26.0,9.57073837671504,21.31014905719862,0.064,2.3978952727983707,239.0,0.101,0.0,0.12,51.0,51.0,0.0,1,0.479,0.495,0.025,16.21247958374647,0.162,16.951004817371683,17.281246492014,Low,1.3638495396607115,0.6320140032513373,1.0181818181818183
0.043,41.0,11.279516908298021,26.0,11.414176378900056,24.560263440883517,0.046,2.8903717578961645,239.0,0.1075,0.0,0.213,47.0,46.0,0.0,1,0.435,0.537,0.028,18.62669219940495,0.348,19.04125723705382,20.228969516770974,Upper-Middle,1.1297721182806417,0.9085996979605852,0.8621973929236499
0.041,41.0,6.532334292222349,26.0,9.57073837671504,21.274237624926794,0.042,2.302585092994046,239.0,0.1075,0.0,0.17,49.0,47.0,0.0,1,0.466,0.505,0.03,15.943215696629945,0.149,17.11134746100564,17.370858648025116,Low,0.8935179802469254,0.6179638601794945,0.9821782178217822
0.036,41.0,3.8918202981106265,26.0,9.57073837671504,18.155533588834196,0.089,3.8501476017100584,239.0,0.058,0.0,0.22649999999999998,65.0,62.0,0.5,1,0.44,0.52,0.04,11.845310790105684,0.534,16.108045416114916,14.603968372873895,Low,1.6158424894062433,0.368169200619271,0.923076923076923
0.04,41.0,8.278682162970906,26.0,7.782807262839695,22.26647952515016,0.046,3.1354942159291497,239.0,0.069,0.0,0.12,59.0,56.0,0.0,1,0.451,0.517,0.032,16.10416709746041,0.403,18.839391085389497,18.643824303266577,Lower-Middle,1.0242580581569074,0.9426009150853445,0.9342359767891683
0.019,41.0,6.338594078203183,26.0,9.57073837671504,20.23693438657084,0.048,5.918893854273146,239.0,0.012,0.1,0.107,75.0,69.0,0.3,1,0.282,0.637,0.081,11.303832736878679,0.501,19.23161096461314,17.599700214609808,Low,0.9713728505554003,0.5996358865683102,0.5698587127158555
0.044,41.0,6.054439346269371,26.0,9.57073837671504,20.270510993187752,0.118,3.367295829986474,239.0,0.1075,0.0,0.22649999999999998,39.0,37.0,0.0,1,0.43,0.546,0.025,15.236147889986709,0.356,16.118095750958314,17.370858648025116,Low,2.3919202971961546,0.572754629856883,0.8333333333333333
0.049,41.0,6.249975242259483,26.0,9.57073837671504,23.436618790804065,0.061,5.267858159063328,239.0,0.105,0.0,0.12,52.0,49.0,0.0,1,0.472,0.499,0.029,15.815017938162557,0.332,20.350025877585416,19.93800336967164,Lower-Middle,1.429633746239048,0.5912524763669086,1.0040080160320641
0.024,41.0,12.817499879303782,26.0,11.601531403304254,25.61269454290501,0.083,5.5093883366279774,239.0,0.052,0.1,0.145,58.0,54.0,0.2,1,0.33,0.636,0.034,17.599700214609808,0.569,21.928637662485635,21.710574056428424,High,2.125853647061116,1.0171382722533944,0.5723270440251572
0.043,41.0,9.051344640485725,26.0,9.57073837671504,23.436618790804065,0.061,5.267858159063328,239.0,0.1075,0.1,0.12,50.0,48.0,0.5,1,0.447,0.523,0.03,15.710576184099509,0.165,20.350025877585416,19.93800336967164,Lower-Middle,1.429633746239048,0.8562641811686308,0.9120458891013383
0.04,41.0,8.618846845142738,26.0,9.498597279178806,23.229387446611398,0.034,2.772588722239781,239.0,0.069,0.0,0.12,60.0,56.0,0.0,1,0.437,0.533,0.03,17.138018169098327,0.325,15.424948670398354,17.822843761378564,Lower-Middle,0.7897991731847875,0.8209522297074813,0.8761726078799249
